qt5-xmlpatterns 5.6.0-1
qtchooser 53-2
qtwebkit 2.3.4-4
randrproto 1.5.0-1
rar 5.3.0-1
readline 6.3.008-3
recode 3.6-8
recordproto 1.14.2-2
redshift 1.11-2
reflector 2015.12-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
resourceproto 1.2.0-3
rest 0.7.93-1
rfkill 0.5-1
rlwrap 0.42-2
rtkit 0.11-5
ruby 2.3.1-1
ruby-docs 2.3.1-1
rxvt-unicode 9.22-1
rxvt-unicode-terminfo 9.22-1
s-nail 14.8.8-1
sbc 1.3-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sddm 0.13.0-2
sddm-kcm 5.6.3-1
sdl 1.2.15-7
sdl_image 1.2.12-3
sed 4.2.2-3
shadow 4.2.1-3
shared-mime-info 1.6-2
signon-kwallet-extension 16.04.0-1
signon-plugin-oauth2 0.23-2
signon-ui 0.17+15.10.20150810-2
signond 8.58-1
slang 2.3.0-1
smbclient 4.4.3-1
snappy 1.1.3-2
solid 5.21.0-1
sonnet 5.21.0-1
sound-theme-freedesktop 0.8-2
speech-dispatcher 0.8.3-6
speex 1.2rc2-1
speexdsp 1.2rc3-2
sqlite 3.12.2-1
startup-notification 0.12-4
strigi 0.7.8-9
sudo 1.8.16-1
suitesparse 4.4.5-1
swi-prolog 7.2.3-3
swt 4.5-1
sysfsutils 2.1.0-9
systemd 229-3
systemd-sysvcompat 229-3
systemsettings 5.6.3-1
taglib 1.11-1
talloc 2.1.6-1
tar 1.28-1
tdb 1.3.8-1
terminus-font 4.40-2
tevent 0.9.28-1
texinfo 6.1-3
thin-provisioning-tools 0.6.1-2
threadweaver 5.21.0-1
tlp 0.8-1
touchegg 1.1.1-3
touchegg-gce-git 1.1-4
traceroute 2.0.21-1
tree 1.7.0-1
tslib 1.1-1
ttf-oxygen 1:5.4.3-1
ttf-roboto 5:131072-1
tzdata 2016d-1
udisks2 2.1.7-1
unzip 6.0-12
upower 0.99.4-2
usbutils 008-1
util-linux 2.28-1
v4l-utils 1.10.0-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
virtualgl 2.5-2
vlc 2.2.3-2
wayland 1.10.0-1
wayland-protocols 1.3-1
webrtc-audio-processing 0.1-3
which 2.21-1
wpa_supplicant 1:2.5-3
x265 1.9-1
xapian-core 1:1.2.23-1
xbindkeys 1.8.6-1
xbitmaps 1.1.1-3
xcb-proto 1.11-2
xcb-util 0.4.0-1
xcb-util-cursor 0.1.2-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xdg-utils 1.1.1-2
xextproto 7.3.0-1
xf86-input-evdev 2.10.2-1
xf86-input-synaptics 1.8.3-2
xf86-video-intel 1:2.99.917+641+ge4ef6e9-1
xf86driproto 2.1.1-3
xf86vidmodeproto 2.3.1-3
xfsprogs 4.3.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.17-2
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.3-1
xorg-server-common 1.18.3-1
xorg-server-devel 1.18.3-1
xorg-setxkbmap 1.3.1-1
xorg-twm 1.0.9-1
xorg-util-macros 1.19.0-1
xorg-xauth 1.0.9-1
xorg-xclock 1.0.7-1
xorg-xev 1.2.2-1
xorg-xfontsel 1.0.5-1
xorg-xinit 1.3.4-4
xorg-xkbcomp 1.3.1-1
xorg-xmessage 1.0.4-2
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xproto 7.0.28-1
xterm 324-2
xvidcore 1.3.4-1
xz 5.2.2-1
zeromq 4.1.4-1
zip 3.0-7
zlib 1.2.8-4
zvbi 0.2.35-1
